result,table,controller,site,power_factor_avg,units,current_l1,current_l2,current_l3,volts_l1_n,volts_l2_n,volts_l3_n,apparent_power_total,power_l1,power_l2,power_l3,power_total
0.0,1.975609756097561,0.0,0.0,0.79,0.0,0.67,0.54,0.71,232.77499999999998,231.2625,232.9375,0.44618225,0.136431125,0.1003589,0.11754200000000001,0.35407662500000003
0.0,1.9722222222222223,0.0,0.0,0.79,0.0,0.67,0.54,0.71,233.07142857142858,231.6,233.22857142857143,0.4471692857142857,0.13658771428571428,0.10021145714285715,0.117554,0.3541174285714286
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.54,0.7157142857142856,233.57142857142858,232.08571428571426,233.70000000000002,0.4499294285714286,0.13724014285714287,0.10090842857142857,0.11797442857142858,0.35575285714285715
0.0,2.0,0.0,0.0,0.79,0.0,0.67125,0.54,0.72,233.8625,232.45,234.0625,0.45087525,0.1374615,0.101132125,0.11843200000000001,0.3569795
0.0,2.0,0.0,0.0,0.79,0.0,0.6725000000000001,0.54,0.72,234.0,232.625,234.25,0.4505705,0.137336,0.10116925,0.1183765,0.3565715
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.54,0.7183333333333333,233.66666666666666,232.25,233.88333333333333,0.44947133333333333,0.13681316666666665,0.10092733333333333,0.11824849999999999,0.35616049999999994
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.54,0.715,233.5875,232.1875,233.75,0.44963225,0.136579,0.100828375,0.117851,0.355448875
0.0,2.054054054054054,0.0,0.0,0.79,0.0,0.67,0.54,0.71,232.94285714285712,231.45714285714286,232.95714285714286,0.4473374285714286,0.136473,0.10044299999999999,0.11725057142857143,0.3543724285714286
0.0,2.0476190476190474,0.0,0.0,0.79,0.0,0.67,0.54,0.71,232.8125,231.4,232.75,0.44623825,0.136274,0.10010825,0.116575875,0.352964
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.54,0.71,232.79999999999998,231.4333333333333,232.83333333333334,0.4459245,0.13630333333333333,0.10041416666666665,0.11725000000000001,0.35363433333333333
0.0,2.0,0.0,0.0,0.79,0.0,0.67,0.54,0.71,232.4,231.02499999999998,232.475,0.44482925,0.1360525,0.100108575,0.117006,0.35281724999999997
0.0,1.972972972972973,0.0,0.0,0.79,0.0,0.6728571428571428,0.54,0.71,232.55714285714288,231.1,232.58571428571426,0.45037200000000005,0.13609714285714286,0.10023607142857142,0.1168152857142857,0.35317642857142856
0.0,1.975609756097561,0.0,0.0,0.79,0.0,0.6737500000000001,0.54,0.72,234.77499999999998,233.2875,234.7875,0.454476125,0.13776,0.101178875,0.118302875,0.356991875
0.0,2.0555555555555554,0.0,0.0,0.79,0.0,0.6785714285714286,0.54,0.72,234.75714285714284,233.44285714285712,234.78571428571428,0.454581,0.13730771428571428,0.10100071428571429,0.1185062857142857,0.3570858571428572
0.0,1.975609756097561,0.0,0.0,0.79,0.0,0.68,0.54,0.72,234.8375,233.4875,234.95,0.45499975,0.1376795,0.10117575,0.118488,0.357578625
0.0,2.0,0.0,0.0,0.78,0.0,0.6428571428571429,0.5428571428571429,0.72,235.44285714285712,234.02857142857144,235.37142857142857,0.4482,0.1290642857142857,0.1009387142857143,0.11808557142857143,0.34835214285714283
0.0,2.048780487804878,0.0,0.0,0.78,0.0,0.65,0.55,0.72,236.2625,234.8375,236.2375,0.45186525,0.129737125,0.1016745,0.119346125,0.35065825
0.0,2.0232558139534884,0.0,0.0,0.78,0.0,0.6475,0.55,0.72,236.0,234.55,235.925,0.449697375,0.129521,0.101388,0.118988,0.3498735
0.0,1.9722222222222223,0.0,0.0,0.78,0.0,0.65,0.55,0.72,235.9857142857143,234.58571428571426,235.95714285714286,0.4511755714285714,0.129689,0.10134271428571429,0.11896685714285714,0.3501957142857143
0.0,2.0,0.0,0.0,0.78,0.0,0.65,0.55,0.72,235.7875,234.3375,235.7375,0.45068400000000003,0.129461125,0.101539875,0.118810375,0.34997812500000003
0.0,2.0555555555555554,0.0,0.0,0.7771428571428572,0.0,0.65,0.55,0.72,236.07142857142858,234.7,236.15714285714284,0.4518638571428571,0.129497,0.10153285714285713,0.11913757142857143,0.35002357142857143
0.0,2.0,0.0,0.0,0.7742857142857142,0.0,0.65,0.55,0.7257142857142858,236.44285714285712,235.0142857142857,236.41428571428574,0.45337814285714284,0.12997285714285714,0.10185757142857144,0.11939542857142858,0.3515028571428571
0.0,2.048780487804878,0.0,0.0,0.77,0.0,0.65,0.55,0.73,237.625,236.3,237.675,0.4577425,0.1306135,0.10219249999999999,0.120278625,0.35325537500000004
0.0,2.0,0.0,0.0,0.7766666666666667,0.0,0.6633333333333334,0.55,0.73,238.0666666666667,236.76666666666665,238.13333333333333,0.463019,0.13556433333333334,0.10241233333333333,0.12051033333333333,0.35856466666666664
0.0,2.0476190476190474,0.0,0.0,0.7825,0.0,0.67,0.55,0.72375,236.6375,235.3625,236.70000000000002,0.459493875,0.137311375,0.10199025,0.11978749999999999,0.359205375
0.0,1.975609756097561,0.0,0.0,0.78,0.0,0.67125,0.55,0.7275,236.6875,235.4,236.8125,0.456316125,0.137815875,0.102248625,0.11967525,0.359762875
0.0,2.0,0.0,0.0,0.78,0.0,0.6842857142857143,0.55,0.7314285714285714,237.91428571428574,236.72857142857143,238.14285714285714,0.46749671428571427,0.14046214285714287,0.1030847142857143,0.12092757142857144,0.3643351428571428
